Date,Memecoin MCap
2021-01-01,597887561.0
2021-01-02,707576208.0
2021-01-03,1354819957.0
2021-01-04,1288354839.0
2021-01-05,1226307420.0
2021-01-06,1257877104.0
2021-01-07,1331066851.0
2021-01-09,1264295436.0
2021-01-10,1306799491.0
2021-01-11,1263664503.0
2021-01-12,1132719254.0
2021-01-13,1022224681.0
2021-01-14,1106626599.0
2021-01-15,1211261062.0
2021-01-16,1193371730.0
2021-01-17,1185636962.0
2021-01-18,1155387089.0
2021-01-19,1180603793.0
2021-01-20,1158893557.0
2021-01-21,1158148987.0
2021-01-22,1044842778.0
2021-01-23,1087438950.0
2021-01-24,1098138944.0
2021-01-25,1118023170.0
2021-01-26,1072613320.0
2021-01-27,1053619539.0
2021-01-28,948845594.0
2021-01-29,4182699293.0
2021-01-30,6067971852.0
2021-01-31,3654877537.0
2021-02-01,4920829029.0
2021-02-02,4433684616.0
2021-02-03,4054295192.0
2021-02-04,4699500064.0
2021-02-05,6810395814.0
2021-02-06,6033220883.0
2021-02-07,7271788224.0
2021-02-08,10271067765.0
2021-02-09,10164021993.0
2021-02-10,8978311026.0
2021-02-11,9381046299.0
2021-02-12,8951728841.0
2021-02-13,8937647951.0
2021-02-14,8583843026.0
2021-02-15,7963525499.0
2021-02-16,7306725578.0
2021-02-17,6943871271.0
2021-02-18,6256910636.0
2021-02-19,7729583761.0
2021-02-20,7128326860.0
2021-02-21,7082310130.0
2021-02-22,7345301352.0
2021-02-23,6873239455.0
2021-02-24,6103500677.0
2021-02-25,7332961501.0
2021-02-26,6454021312.0
2021-02-27,6487737134.0
2021-02-28,6538921364.0
2021-03-01,6201387147.0
2021-03-02,6561571713.0
2021-03-03,6517554438.0
2021-03-04,6527074840.0
2021-03-05,6449361941.0
2021-03-06,6421657994.0
2021-03-07,6545855781.0
2021-03-08,6657773356.0
2021-03-09,7776184983.0
2021-03-10,7446831675.0
2021-03-11,7232723297.0
2021-03-12,7201587925.0
2021-03-13,7094349921.0
2021-03-14,7750447457.0
2021-03-15,7610317578.0
2021-03-16,7324737827.0
2021-03-17,7556337742.0
2021-03-18,7517749273.0
2021-03-19,7429523848.0
2021-03-20,7528469477.0
2021-03-21,7634534868.0
2021-03-22,7393832359.0
2021-03-23,7186846706.0
2021-03-24,6929411776.0
2021-03-25,6729987270.0
2021-03-26,6575327768.0
2021-03-27,6940289325.0
2021-03-28,6962666598.0
2021-03-29,7015286858.0
2021-03-30,7079729288.0
2021-03-31,7046811980.0
2021-04-01,7014689873.0
2021-04-02,7924888033.0
2021-04-03,7507812668.0
2021-04-04,7298466979.0
2021-04-05,7463266116.0
2021-04-06,7715037292.0
2021-04-07,8342298640.0
2021-04-08,7655108665.0
2021-04-09,7962866152.0
2021-04-10,7936596412.0
2021-04-11,8249317321.0
2021-04-12,9687276639.0
2021-04-13,9196724800.0
2021-04-14,12113258471.0
2021-04-15,15701118351.0
2021-04-16,22780764221.0
2021-04-17,48767205447.0
2021-04-18,37483584822.0
2021-04-19,41360056945.0
2021-04-20,53086953476.0
2021-04-21,43064103591.0
2021-04-22,39871679938.0
2021-04-23,34105735063.0
2021-04-24,32231128597.0
2021-04-25,34979989822.0
2021-04-26,33051358530.0
2021-04-27,35161130279.0
2021-04-28,35151669025.0
2021-04-29,41743974978.0
2021-04-30,39626179177.0
2021-05-01,43856109573.0
2021-05-02,50748955079.0
2021-05-03,49014916719.0
2021-05-04,57139646560.0
2021-05-05,71252122862.0
2021-05-06,84871718670.0
2021-05-07,75249721643.0
2021-05-08,88794768977.0
2021-05-09,82064020248.0
2021-05-10,74368118240.0
2021-05-11,58441555673.0
2021-05-12,64355971521.0
2021-05-13,53796102921.0
2021-05-14,63676946506.0
2021-05-15,73661316729.0
2021-05-16,73827951681.0
2021-05-17,76077733395.0
2021-05-18,71424495158.0
2021-05-19,70160475195.0
2021-05-20,48807694564.0
2021-05-21,56532789028.0
2021-05-22,50123916189.0
2021-05-23,48901674934.0
2021-05-24,44251813818.0
2021-05-25,52510496774.0
2021-05-26,49581436177.0
2021-05-27,50790534868.0
2021-05-28,47811596880.0
2021-05-29,44469471604.0
2021-05-30,43693334056.0
2021-05-31,43122846999.0
2021-06-01,47170857723.0
2021-06-02,53000440453.0
2021-06-03,60244161396.0
2021-06-04,56704267797.0
2021-06-05,53503415341.0
2021-06-06,52375063062.0
2021-06-07,52716135276.0
2021-06-08,47589821332.0
2021-06-09,46260202037.0
2021-06-10,48527441327.0
2021-06-11,46334286389.0
2021-06-12,44332895130.0
2021-06-13,43911363309.0
2021-06-14,45718207167.0
2021-06-15,46233735500.0
2021-06-16,46420187145.0
2021-06-17,44111848728.0
2021-06-18,43825967564.0
2021-06-19,41792811152.0
2021-06-20,41328862289.0
2021-06-21,40689775331.0
2021-06-22,26494969260.0
2021-06-23,27675193381.0
2021-06-24,34230000049.0
2021-06-25,37994318256.0
2021-06-26,35270846816.0
2021-06-27,35217452049.0
2021-06-28,38003100105.0
2021-06-29,37494580298.0
2021-06-30,38998896897.0
2021-07-01,37482894026.0
2021-07-02,36245926164.0
2021-07-03,36089085778.0
2021-07-04,36562389733.0
2021-07-05,36568783672.0
2021-07-06,34561744568.0
2021-07-07,34869185705.0
2021-07-08,33585492108.0
2021-07-09,30920827714.0
2021-07-10,32473064567.0
2021-07-11,31548296533.0
2021-07-12,31855137566.0
2021-07-13,30899240329.0
2021-07-14,29380008197.0
2021-07-15,29336201376.0
2021-07-16,27657657663.0
2021-07-17,25723773183.0
2021-07-18,27385834803.0
2021-07-19,27365041410.0
2021-07-20,25822749540.0
2021-07-21,25520194213.0
2021-07-22,28200535484.0
2021-07-23,28247509453.0
2021-07-24,28526169546.0
2021-07-25,29106251692.0
2021-07-26,29276098414.0
2021-07-27,30093758749.0
2021-07-28,29864216691.0
2021-07-29,30331545636.0
2021-07-30,30413561373.0
2021-07-31,30093748586.0
2021-08-01,31131904049.0
2021-08-02,29597236759.0
2021-08-03,29860534431.0
2021-08-04,28921508106.0
2021-08-05,29555837799.0
2021-08-06,29460993557.0
2021-08-07,30005316368.0
